序号,物质名称,GB 标准号,日期和状态,分类,描述,标签
641,中砷的测定,GB5009.76-2014,,检测标准,用于监测食品中砷的含量，确保安全。,安全
642,β-胡萝卜素,GB8821-2010,2011年12月21日被替代,营养添加剂,提供天然的橙色，用于增强食品颜色。,安全
643,山梨醇酐单硬脂酸酯（司盘60）,GB13481-2010,2011年12月21日被替代,乳化剂,用于改善食品质地和稳定性。,安全
644,山梨醇酐单油酸酯（司盘80）,GB13482-2010,2011年12月21日被替代,乳化剂,用于提升食品的口感和质感。,安全
645,活性白土,GB25571-2010,2011年12月21日被替代,吸附剂,用于去除食品中的杂质和异味。,安全
647,丁苯橡胶,GB29987-2013,2015年5月24日被替代,食品包装材料,用于制造食品包装材料。,安全
648,琼脂（琼胶）,GB1975-2010,2017年1月1日废止,增稠剂,用于食品的增稠和胶凝。,安全
649,乙基麦芽酚,GB12487-2010,2017年1月1日废止,食品香料,用于增添食品的风味。,安全
650,吗啉脂肪酸盐果蜡,GB12489-2010,2017年1月1日废止,食品添加剂,用于改善食品质感。,安全
651,滑石粉,GB25578-2010,2017年1月1日废止,填充剂,用于提升食品的外观和质地。,安全
652,稳定态二氧化氯溶液,GB25580-2010,2017年1月1日废止,消毒剂,用于食品加工环境的消毒。,安全
653,碳酸氢钾,GB25589-2010,2017年1月1日废止,食品添加剂,用于调节食品的酸碱度。,安全
654,复合膨松剂,GB25591-2010,2017年1月1日废止,膨松剂,用于提高食品的蓬松度。,安全
655,山梨糖醇,GB29219-2012,2017年1月1日废止,甜味剂,用于替代糖，降低热量。,安全
656,乙酸乙酯,GB29224-2012,2017年1月1日废止,溶剂,用于食品的提取和加工。,安全
657,六偏磷酸钠,GB1886.4-2015,2021年3月11日被替代,食品添加剂,用于食品的保鲜和稳定。,安全
658,二氧化硅,GB25576-2010,2021年3月11日被替代,抗结剂,用于防止食品结块。,安全
659,氨水,GB29201-2012,2021年3月11日被替代,食品添加剂,用于特定食品加工。,安全
660,碳酸钠,GB1886.1-2015,2021年8月22日被替代,食品添加剂,用于调节食品的酸碱度。,安全
661,磷酸氢钙,GB1886.3-2016,2021年8月22日被替代,营养强化剂,用于补充钙元素。,安全
662,二氧化钛,GB25577-2010,2021年8月22日被替代,着色剂,用于提供食品的白色和亮度。,安全
663,焦磷酸二氢二钠,GB25567-2010,2021年8月22日被替代,食品添加剂,用于改善食品的质感。,安全
664,焦磷酸钠,GB25557-2010,2021年8月22日被替代,食品添加剂,用于增稠和稳定食品。,安全
665,焦磷酸四钾,GB25562-2010,2021年8月22日被替代,食品添加剂,用于提升食品的质地。,安全
666,磷酸二氢铵,GB25569-2010,2021年8月22日被替代,营养强化剂,用于增加食品中的磷和氮。,安全
667,磷酸二氢钙,GB25559-2010,2021年8月22日被替代,营养强化剂,用于补充钙元素。,安全
668,磷酸二氢钾,GB25560-2010,2021年8月22日被替代,营养强化剂,用于提供钾元素。,安全
669,磷酸二氢钠,GB25564-2010,2021年8月22日被替代,食品添加剂,用于调节食品的酸碱度。,安全
670,磷酸氢二铵,GB30613-2014,2021年8月22日被替代,营养强化剂,用于提供氮和磷。,安全
671,磷酸氢二钾,GB25561-2010,2021年8月22日被替代,营养强化剂,用于提供钾元素。,安全
672,磷酸氢二钠,GB25568-2010,2021年8月22日被替代,食品添加剂,用于调节酸碱度。,安全
673,磷酸三钙,GB25558-2010,2021年8月22日被替代,营养强化剂,用于补充钙元素。,安全
674,磷酸三钾,GB25563-2010,2021年8月22日被替代,营养强化剂,用于提供钾元素。,安全
675,磷酸三钠,GB25565-2010,2021年8月22日被替代,食品添加剂,用于调节酸碱度。,安全
676,硫酸铝铵,GB25592-2010,2021年8月22日被替代,食品添加剂,用于提升食品的质地。,安全
677,三聚磷酸钠,GB25566-2010,2021年8月22日被替代,食品添加剂,用于改善食品的稳定性。,安全
678,β-环状糊精,GB1886.180-2016,2022年3月7日被替代,食品添加剂,用于提高食品的溶解性和稳定性。,安全
679,丁香酚,GB1886.129-2015,2022年12月30日被替代,食品香料,用于提供香气和风味。,安全
680,甜菊糖苷,GB8270-2014,2022年12月30日被替代,天然甜味剂,用于替代糖，降低热量。,安全
681,丙酸钙,GB25548-2010,2022年12月30日被替代,防腐剂,用于抑制微生物生长，延长食品保质期。,安全
682,靛蓝铝色淀,GB28318-2012,2022年12月30日被替代,着色剂,用于增添食品的颜色和视觉吸引力。,安全
683,磷脂,GB28401-2012,2022年12月30日被替代,乳化剂,用于改善食品的质地和稳定性。,安全
684,胶基及其配料,GB29987-2014,2022年12月30日被替代,增稠剂,用于增强食品的稠度和口感。,安全
685,萜烯树脂,GB29947-2013,2022年12月30日被替代,食品添加剂,用于改善食品的质感。,安全
686,乳酸链球菌素,GB1886.231-2016,2024年3月6日被替代,防腐剂,用于抑制微生物生长，延长食品保质期。,安全
687,辛烯基琥珀酸淀粉钠,GB28303-2012,2024年3月6日被替代,增稠剂,用于提高食品的稠度。,安全
688,β-胡萝卜素,GB8821-2011,2024年3月6日被替代,营养强化剂,用于提供维生素A，改善视觉健康。,安全
689,L-肉碱酒石酸盐,GB25550-2010,2024年3月6日被替代,营养补充剂,用于支持脂肪代谢。,安全
690,纤维素,GB29946-2013,2024年8月8日被替代,增稠剂,用于改善食品的质地和稠度。,安全
691,松香季戊四醇酯,GB1886.96-2016,2024年8月8日被替代,增稠剂,用于改善食品的质地。,安全
692,吗啉脂肪酸盐果蜡,GB1886.227-2016,2024年8月8日被替代,食品添加剂,用于提升食品的外观。,安全
693,氢氧化钙,GB25572-2010,2024年8月8日被替代,食品添加剂,用于调节食品的酸碱度。,安全
694,食品工业用酶制剂,GB1886.174-2016,2024年8月8日被替代,酶制剂,用于促进食品加工中的化学反应。,安全
695,甲基纤维素,GB1886.256-2016,2024年8月8日被替代,增稠剂,用于改善食品的质地和稳定性。,安全
696,喹啉黄,GB1886.104-2015,2024年8月8日被替代,着色剂,用于增添食品的颜色。,安全
697,乳糖醇（又名4-β-D吡喃半乳糖-D-山梨醇）,GB1886.98-2016,2024年8月8日被替代,甜味剂,用于替代糖，降低热量。,安全
698,花生四烯酸油脂（发酵法）,GB26401-2011,2024年8月8日被替代,营养补充剂,用于增加Omega-6脂肪酸。,安全
699,二十二碳六烯酸油脂（发酵法）,GB26400-2011,2024年8月8日被替代,营养补充剂,用于增加Omega-3脂肪酸。,安全
